hazard_label,surface_type,weather_condition,bounding_box_area_px,aspect_ratio,intensity_contrast,edge_density,depth_est_cm,repair_urgency_score,is_hazardous
Pothole,Concrete,Rainy,2814.8,1.02,68.61,0.361,7.8,0.474,1
Road Debris,Asphalt,Night / Low Light,3321.5,1.17,68.55,0.423,8.2,0.561,1
Surface Crack,Concrete,Overcast,1510.7,4.06,37.87,0.455,1.3,0.416,1
Normal Clear,Asphalt,Clear,139.3,0.98,2.83,0.103,0.0,0.02,0
Normal Clear,Gravel,Clear,194.8,1.07,7.32,0.091,0.0,0.02,0
Surface Crack,Asphalt,Overcast,1813.6,4.32,57.41,0.632,0.5,0.364,1
Pothole,Gravel,Clear,3755.7,1.29,71.92,0.379,7.8,0.499,1
Normal Clear,Concrete,Clear,160.8,0.79,9.27,0.025,0.0,0.02,0
Pothole,Asphalt,Rainy,3665.9,1.41,72.75,0.433,5.4,0.443,1
Normal Clear,Asphalt,Rainy,104.5,1.28,7.44,0.06,0.0,0.02,0
Surface Crack,Gravel,Clear,1065.5,2.31,57.73,0.704,0.7,0.396,1
Normal Clear,Concrete,Clear,155.6,1.08,11.05,0.056,0.0,0.02,0
Pothole,Asphalt,Clear,5441.0,1.44,75.82,0.486,15.4,0.782,1
Road Debris,Concrete,Clear,1555.3,1.32,56.57,0.249,11.8,0.475,1
Surface Crack,Asphalt,Overcast,2560.7,1.85,47.35,0.643,1.9,0.426,1
Road Debris,Asphalt,Overcast,3062.8,1.51,70.73,0.393,3.3,0.478,1
Pothole,Asphalt,Rainy,5685.7,2.25,72.06,0.468,16.6,0.842,1
Normal Clear,Asphalt,Clear,105.4,1.19,17.93,0.108,0.0,0.02,0
Normal Clear,Concrete,Overcast,199.5,0.89,16.3,0.084,0.0,0.02,0
Pothole,Asphalt,Rainy,5113.9,1.31,66.54,0.351,16.5,0.918,1
Pothole,Concrete,Clear,4368.2,0.85,52.75,0.406,15.1,0.819,1
Pothole,Asphalt,Overcast,6311.5,1.33,67.81,0.349,16.6,0.89,1
Road Debris,Asphalt,Night / Low Light,864.0,1.72,47.28,0.269,8.6,0.393,1
Road Debris,Asphalt,Night / Low Light,4041.1,1.45,45.25,0.345,6.1,0.387,1
Road Debris,Asphalt,Night / Low Light,1339.4,1.61,59.47,0.305,4.4,0.537,1
Pothole,Asphalt,Clear,3053.3,0.85,82.31,0.324,11.4,0.523,1
Surface Crack,Asphalt,Clear,1594.8,4.02,42.77,0.683,1.7,0.437,1
Road Debris,Asphalt,Night / Low Light,1171.4,1.68,61.42,0.254,9.1,0.47,1
Surface Crack,Asphalt,Clear,1712.4,3.33,51.57,0.657,3.2,0.553,1
Normal Clear,Asphalt,Clear,60.1,1.35,9.88,0.068,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4806.9,1.39,91.53,0.287,14.4,0.682,1
Normal Clear,Concrete,Night / Low Light,119.7,0.78,19.25,0.034,0.0,0.02,0
Surface Crack,Gravel,Rainy,2882.2,3.68,35.42,0.749,2.0,0.529,1
Surface Crack,Asphalt,Night / Low Light,1619.8,2.5,41.66,0.787,2.6,0.478,1
Normal Clear,Asphalt,Overcast,152.3,0.71,12.5,0.08,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,112.1,1.38,11.98,0.106,0.0,0.02,0
Normal Clear,Gravel,Clear,196.4,1.35,7.16,0.027,0.0,0.02,0
Pothole,Asphalt,Clear,6568.8,1.37,69.52,0.409,8.0,0.578,1
Pothole,Asphalt,Clear,3367.3,1.3,61.2,0.586,17.1,0.808,1
Normal Clear,Asphalt,Clear,214.3,1.12,19.02,0.028,0.0,0.02,0
Road Debris,Asphalt,Clear,3316.0,1.18,54.27,0.383,11.5,0.4,1
Pothole,Asphalt,Clear,4575.6,1.36,53.45,0.453,13.7,0.721,1
Pothole,Concrete,Rainy,4069.9,0.83,81.13,0.388,5.0,0.362,1
Pothole,Asphalt,Overcast,3635.5,1.03,59.48,0.507,15.3,0.748,1
Normal Clear,Asphalt,Clear,84.7,1.21,17.3,0.101,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4704.5,1.19,49.25,0.312,6.7,0.498,1
Surface Crack,Asphalt,Night / Low Light,3144.4,2.91,38.38,0.546,2.3,0.542,1
Pothole,Gravel,Clear,4965.5,1.02,82.88,0.392,15.3,0.722,1
Surface Crack,Asphalt,Overcast,2512.6,3.64,37.26,0.62,3.1,0.643,1
Pothole,Concrete,Rainy,4810.1,1.2,73.73,0.365,7.1,0.453,1
Road Debris,Asphalt,Clear,2619.4,1.28,68.82,0.371,5.7,0.515,1
Pothole,Asphalt,Night / Low Light,6161.7,1.24,65.87,0.397,6.1,0.377,1
Normal Clear,Gravel,Clear,129.8,1.14,14.66,0.113,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,2988.8,1.32,59.27,0.322,15.7,0.803,1
Road Debris,Concrete,Clear,1877.9,2.08,51.94,0.32,10.2,0.598,1
Normal Clear,Asphalt,Overcast,103.4,1.37,13.04,0.081,0.0,0.02,0
Normal Clear,Concrete,Clear,107.2,1.24,14.07,0.099,0.0,0.02,0
Road Debris,Asphalt,Rainy,2043.2,1.83,64.12,0.26,11.4,0.551,1
Surface Crack,Asphalt,Clear,2606.3,3.98,32.07,0.718,1.7,0.436,1
Surface Crack,Concrete,Night / Low Light,1564.3,5.02,40.89,0.75,1.8,0.449,1
Normal Clear,Gravel,Night / Low Light,158.9,1.02,14.45,0.117,0.0,0.02,0
Normal Clear,Gravel,Rainy,151.4,1.01,16.45,0.087,0.0,0.02,0
Normal Clear,Concrete,Rainy,103.8,0.9,3.48,0.052,0.0,0.02,0
Road Debris,Concrete,Rainy,978.7,1.64,67.12,0.244,5.4,0.41,1
Normal Clear,Asphalt,Overcast,163.7,0.96,7.03,0.099,0.0,0.02,0
Surface Crack,Asphalt,Rainy,2078.7,3.4,42.67,0.697,1.8,0.5,1
Pothole,Asphalt,Overcast,5221.0,1.22,84.32,0.399,6.2,0.495,1
Road Debris,Asphalt,Overcast,2808.6,2.23,50.16,0.348,8.5,0.511,1
Normal Clear,Asphalt,Clear,127.0,0.83,17.64,0.086,0.0,0.02,0
Pothole,Asphalt,Clear,2727.6,1.05,79.27,0.352,17.3,0.741,1
Normal Clear,Asphalt,Clear,185.2,1.2,12.07,0.154,0.0,0.02,0
Pothole,Concrete,Overcast,5489.0,1.13,58.21,0.342,5.7,0.484,1
Road Debris,Asphalt,Clear,3801.1,0.97,60.13,0.373,5.6,0.569,1
Pothole,Asphalt,Rainy,3824.3,1.54,73.7,0.424,17.7,0.831,1
Surface Crack,Asphalt,Overcast,767.2,1.63,54.41,0.47,1.6,0.468,1
Normal Clear,Concrete,Clear,183.7,0.7,17.14,0.075,0.0,0.02,0
Surface Crack,Concrete,Rainy,871.5,3.27,48.03,0.597,3.3,0.624,1
Normal Clear,Asphalt,Clear,150.2,0.83,10.9,0.121,0.0,0.02,0
Normal Clear,Asphalt,Clear,130.3,0.61,5.03,0.143,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,222.5,0.91,15.24,0.088,0.0,0.02,0
Pothole,Asphalt,Clear,6024.6,0.88,55.48,0.526,7.2,0.465,1
Surface Crack,Asphalt,Clear,1883.7,4.66,50.35,0.608,0.6,0.311,1
Pothole,Asphalt,Overcast,4300.7,1.55,64.57,0.533,8.9,0.566,1
Normal Clear,Asphalt,Clear,155.7,1.05,5.2,0.026,0.0,0.02,0
Normal Clear,Asphalt,Overcast,157.2,1.16,9.31,0.13,0.0,0.02,0
Road Debris,Gravel,Overcast,3161.4,1.14,55.31,0.449,8.2,0.562,1
Normal Clear,Gravel,Clear,119.4,0.82,5.26,0.092,0.0,0.02,0
Road Debris,Asphalt,Clear,3638.1,1.81,55.87,0.373,2.4,0.795,1
Road Debris,Asphalt,Night / Low Light,2341.0,1.82,67.05,0.293,8.1,0.345,1
Pothole,Asphalt,Rainy,5499.3,1.1,72.04,0.346,13.4,0.707,1
Normal Clear,Asphalt,Clear,183.8,0.78,15.29,0.081,0.0,0.02,0
Pothole,Gravel,Night / Low Light,6100.4,1.54,85.22,0.537,6.1,0.386,1
Normal Clear,Asphalt,Clear,192.6,1.22,1.31,0.07,0.0,0.02,0
Normal Clear,Concrete,Overcast,105.1,0.93,9.84,0.079,0.0,0.02,0
Normal Clear,Asphalt,Clear,199.4,0.94,8.05,0.074,0.0,0.02,0
Pothole,Gravel,Clear,4196.1,1.17,60.46,0.449,12.5,0.73,1
Surface Crack,Asphalt,Clear,1452.4,2.58,44.58,0.765,3.0,0.545,1
Pothole,Concrete,Overcast,2974.1,1.44,76.31,0.545,17.5,0.84,1
Surface Crack,Asphalt,Night / Low Light,1588.7,3.72,32.48,0.727,1.8,0.443,1
Pothole,Asphalt,Overcast,4476.4,0.39,61.82,0.494,6.6,0.515,1
Normal Clear,Asphalt,Clear,117.0,0.84,14.04,0.049,0.0,0.02,0
Road Debris,Asphalt,Clear,1188.5,2.19,60.79,0.284,11.7,0.314,1
Surface Crack,Gravel,Clear,1782.8,3.26,47.87,0.716,0.9,0.415,1
Surface Crack,Gravel,Rainy,1796.0,4.61,48.9,0.499,1.8,0.458,1
Surface Crack,Concrete,Rainy,980.1,3.2,46.66,0.723,0.7,0.434,1
Road Debris,Asphalt,Rainy,3760.7,1.68,46.96,0.465,2.4,0.297,1
Road Debris,Concrete,Clear,3750.9,1.3,68.96,0.261,3.3,0.53,1
Normal Clear,Asphalt,Overcast,221.5,1.04,17.16,0.137,0.0,0.02,0
Surface Crack,Asphalt,Clear,1120.4,5.2,33.73,0.545,2.6,0.594,1
Normal Clear,Asphalt,Overcast,156.7,1.26,14.04,0.079,0.0,0.02,0
Normal Clear,Asphalt,Clear,253.1,1.16,14.22,0.06,0.0,0.02,0
Pothole,Asphalt,Rainy,3124.0,1.12,50.01,0.394,9.2,0.533,1
Normal Clear,Asphalt,Clear,152.4,1.23,16.51,0.083,0.0,0.02,0
Pothole,Asphalt,Clear,6910.7,1.17,66.34,0.215,17.5,0.981,1
Normal Clear,Concrete,Rainy,148.6,0.82,18.35,0.087,0.0,0.02,0
Surface Crack,Asphalt,Clear,1639.8,2.36,56.23,0.742,2.4,0.54,1
Normal Clear,Asphalt,Clear,102.6,0.95,7.38,0.01,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,201.4,1.0,18.39,0.106,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,132.3,0.98,14.26,0.109,0.0,0.02,0
Normal Clear,Asphalt,Overcast,166.1,1.22,10.81,0.05,0.0,0.02,0
Surface Crack,Asphalt,Clear,1761.1,4.03,35.39,0.516,0.7,0.356,1
Pothole,Asphalt,Rainy,4222.8,1.48,86.03,0.317,6.9,0.524,1
Surface Crack,Concrete,Rainy,2310.0,4.46,44.67,0.536,1.2,0.451,1
Pothole,Asphalt,Clear,3606.8,0.76,70.38,0.597,9.3,0.48,1
Normal Clear,Concrete,Rainy,141.4,0.85,5.6,0.101,0.0,0.02,0
Surface Crack,Asphalt,Clear,1697.3,3.99,37.79,0.618,1.7,0.444,1
Normal Clear,Asphalt,Clear,26.7,0.65,13.35,0.118,0.0,0.02,0
Road Debris,Concrete,Clear,5406.8,1.87,49.85,0.181,11.5,0.554,1
Normal Clear,Asphalt,Clear,102.5,1.3,15.72,0.043,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4545.6,1.24,63.85,0.482,9.7,0.583,1
Normal Clear,Concrete,Night / Low Light,166.8,1.3,2.03,0.084,0.0,0.02,0
Normal Clear,Asphalt,Overcast,195.8,0.92,5.61,0.052,0.0,0.02,0
Surface Crack,Concrete,Night / Low Light,1822.4,3.26,47.43,0.778,1.9,0.47,1
Road Debris,Asphalt,Clear,2098.2,1.89,46.94,0.346,11.8,0.564,1
Normal Clear,Concrete,Overcast,150.2,0.33,14.38,0.021,0.0,0.02,0
Pothole,Asphalt,Overcast,3771.7,0.48,88.38,0.453,12.4,0.627,1
Road Debris,Asphalt,Clear,1637.4,1.27,47.69,0.155,11.0,0.324,1
Surface Crack,Asphalt,Rainy,2104.4,3.84,58.6,0.677,3.2,0.564,1
Pothole,Asphalt,Overcast,4847.2,1.54,59.13,0.402,10.6,0.583,1
Surface Crack,Asphalt,Rainy,2579.0,4.32,53.78,0.675,0.8,0.343,1
Pothole,Asphalt,Overcast,3616.7,0.56,71.68,0.432,16.5,0.838,1
Pothole,Asphalt,Clear,5801.1,1.2,54.64,0.366,16.2,0.912,1
Pothole,Asphalt,Clear,2647.6,1.49,78.9,0.477,17.1,0.85,1
Normal Clear,Asphalt,Clear,98.7,1.12,21.69,0.089,0.0,0.02,0
Road Debris,Gravel,Rainy,899.1,1.37,76.75,0.288,7.6,0.633,1
Normal Clear,Asphalt,Overcast,171.0,0.84,4.37,0.074,0.0,0.02,0
Surface Crack,Asphalt,Overcast,925.7,3.62,45.28,0.762,2.4,0.568,1
Surface Crack,Asphalt,Clear,835.9,4.08,45.15,0.553,1.7,0.505,1
Road Debris,Asphalt,Clear,1404.3,0.98,59.78,0.389,2.4,0.463,1
Surface Crack,Gravel,Overcast,2214.5,3.99,32.95,0.577,2.3,0.491,1
Pothole,Asphalt,Rainy,4255.3,1.41,32.79,0.527,16.4,0.762,1
Road Debris,Gravel,Clear,3357.1,0.66,39.24,0.428,7.6,0.515,1
Pothole,Asphalt,Rainy,4684.6,0.99,65.74,0.453,17.2,0.827,1
Road Debris,Concrete,Night / Low Light,1504.5,2.03,61.47,0.362,2.4,0.5,1
Normal Clear,Asphalt,Night / Low Light,138.0,1.19,13.97,0.109,0.0,0.02,0
Pothole,Concrete,Rainy,3528.3,0.96,68.24,0.297,15.6,0.767,1
Pothole,Asphalt,Clear,3112.3,1.42,73.14,0.353,5.6,0.446,1
Normal Clear,Asphalt,Overcast,271.3,0.98,16.47,0.109,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,913.1,4.14,46.17,0.683,1.2,0.448,1
Pothole,Asphalt,Clear,4223.5,1.13,79.08,0.488,12.2,0.584,1
Normal Clear,Gravel,Clear,219.8,1.17,7.98,0.068,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4751.9,1.01,74.93,0.478,15.4,0.865,1
Normal Clear,Asphalt,Clear,192.8,0.89,9.63,0.091,0.0,0.02,0
Normal Clear,Concrete,Clear,264.5,0.97,13.45,0.107,0.0,0.02,0
Pothole,Asphalt,Rainy,3996.9,1.44,68.17,0.52,10.8,0.543,1
Pothole,Gravel,Clear,4596.9,1.9,72.22,0.403,8.1,0.472,1
Pothole,Concrete,Rainy,4188.2,1.11,74.61,0.445,15.3,0.765,1
Surface Crack,Asphalt,Clear,2036.9,3.22,46.5,0.778,2.5,0.647,1
Pothole,Concrete,Night / Low Light,4416.6,1.19,61.93,0.444,8.4,0.499,1
Normal Clear,Asphalt,Clear,38.0,0.71,11.57,0.127,0.0,0.02,0
Pothole,Asphalt,Clear,4771.0,0.79,53.63,0.554,15.6,0.856,1
Road Debris,Asphalt,Clear,1185.4,1.2,58.72,0.29,9.1,0.546,1
Normal Clear,Asphalt,Overcast,73.7,1.03,13.34,0.091,0.0,0.02,0
Normal Clear,Concrete,Overcast,223.9,0.65,15.44,0.047,0.0,0.02,0
Road Debris,Gravel,Clear,3270.2,1.31,46.86,0.263,7.1,0.564,1
Surface Crack,Asphalt,Night / Low Light,1367.5,4.68,36.98,0.674,3.5,0.652,1
Road Debris,Asphalt,Rainy,2829.7,1.71,69.0,0.262,11.6,0.503,1
Road Debris,Gravel,Overcast,2120.5,1.62,40.44,0.447,7.5,0.391,1
Surface Crack,Asphalt,Clear,1837.5,4.41,41.32,0.738,1.8,0.392,1
Pothole,Asphalt,Night / Low Light,4214.4,1.61,47.93,0.568,8.9,0.582,1
Normal Clear,Asphalt,Clear,197.6,0.69,10.44,0.063,0.0,0.02,0
Surface Crack,Gravel,Clear,2248.8,2.45,44.21,0.581,3.2,0.591,1
Pothole,Asphalt,Overcast,5690.5,1.13,74.62,0.412,13.3,0.816,1
Surface Crack,Concrete,Rainy,1175.4,4.44,43.85,0.508,3.2,0.622,1
Surface Crack,Concrete,Clear,1383.1,5.35,53.32,0.638,2.3,0.493,1
Normal Clear,Asphalt,Clear,163.8,1.42,12.51,0.043,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,119.1,1.04,17.32,0.07,0.0,0.02,0
Normal Clear,Concrete,Rainy,191.3,0.71,6.23,0.066,0.0,0.02,0
Pothole,Asphalt,Clear,6225.6,1.22,71.48,0.442,8.7,0.576,1
Surface Crack,Concrete,Overcast,2179.2,3.76,42.73,0.784,1.0,0.452,1
Surface Crack,Gravel,Clear,1847.9,4.16,46.82,0.541,2.3,0.486,1
Pothole,Asphalt,Clear,6415.2,1.48,55.42,0.437,13.5,0.825,1
Pothole,Concrete,Overcast,4731.7,0.74,89.36,0.464,18.0,0.909,1
Normal Clear,Concrete,Clear,135.9,1.07,8.1,0.066,0.0,0.02,0
Pothole,Concrete,Clear,2145.9,1.33,63.95,0.469,12.0,0.566,1
Road Debris,Asphalt,Rainy,2474.6,1.49,55.85,0.289,6.1,0.416,1
Pothole,Asphalt,Overcast,3935.9,0.9,54.8,0.422,4.2,0.268,1
Pothole,Asphalt,Clear,4972.1,1.15,55.64,0.308,10.6,0.693,1
Pothole,Concrete,Overcast,4819.9,1.28,65.22,0.485,5.2,0.456,1
Normal Clear,Asphalt,Night / Low Light,153.1,0.94,12.98,0.112,0.0,0.02,0
Normal Clear,Concrete,Clear,148.9,1.0,16.27,0.109,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,229.2,0.65,15.62,0.098,0.0,0.02,0
Surface Crack,Asphalt,Clear,1268.6,4.08,53.41,0.567,3.1,0.548,1
Pothole,Asphalt,Clear,5476.0,1.18,75.2,0.354,5.3,0.54,1
Road Debris,Concrete,Night / Low Light,3221.5,1.76,46.39,0.339,8.9,0.614,1
Surface Crack,Asphalt,Overcast,1593.1,3.78,27.33,0.604,1.0,0.375,1
Normal Clear,Asphalt,Clear,155.4,0.79,10.61,0.074,0.0,0.02,0
Pothole,Asphalt,Clear,2878.7,0.95,72.93,0.421,5.7,0.378,1
Surface Crack,Concrete,Rainy,1690.3,3.51,52.62,0.596,2.6,0.577,1
Pothole,Asphalt,Clear,4543.5,1.34,51.56,0.419,12.9,0.783,1
Surface Crack,Asphalt,Clear,2425.8,3.85,41.5,0.517,1.1,0.434,1
Normal Clear,Gravel,Clear,197.8,0.8,16.35,0.09,0.0,0.02,0
Surface Crack,Concrete,Night / Low Light,2110.6,3.52,39.96,0.796,0.8,0.324,1
Surface Crack,Gravel,Clear,1066.4,4.37,40.81,0.558,1.7,0.414,1
Surface Crack,Asphalt,Clear,619.7,2.18,55.89,0.652,3.0,0.591,1
Surface Crack,Asphalt,Overcast,1844.5,3.49,46.8,0.671,3.1,0.678,1
Normal Clear,Concrete,Overcast,220.0,1.12,9.53,0.065,0.0,0.02,0
Normal Clear,Asphalt,Rainy,113.6,1.24,10.38,0.056,0.0,0.02,0
Normal Clear,Concrete,Clear,166.0,0.98,13.18,0.137,0.0,0.02,0
Normal Clear,Asphalt,Rainy,195.7,1.01,6.37,0.065,0.0,0.02,0
Surface Crack,Asphalt,Clear,2226.6,2.51,62.13,0.651,2.6,0.487,1
Normal Clear,Asphalt,Clear,157.3,1.16,20.34,0.029,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2238.6,4.97,48.61,0.515,2.5,0.567,1
Pothole,Asphalt,Clear,3719.9,1.06,60.76,0.542,4.9,0.357,1
Normal Clear,Asphalt,Clear,201.9,0.76,6.82,0.069,0.0,0.02,0
Pothole,Gravel,Clear,2339.8,1.38,44.08,0.477,8.1,0.472,1
Normal Clear,Asphalt,Clear,211.6,1.02,20.14,0.105,0.0,0.02,0
Surface Crack,Concrete,Clear,2209.6,2.92,50.02,0.672,1.0,0.386,1
Road Debris,Concrete,Overcast,2654.7,2.17,75.95,0.365,2.0,0.465,1
Normal Clear,Asphalt,Clear,74.9,1.02,13.33,0.09,0.0,0.02,0
Normal Clear,Asphalt,Clear,135.8,1.05,13.88,0.102,0.0,0.02,0
Road Debris,Concrete,Clear,4060.1,1.59,55.64,0.246,4.9,0.522,1
Road Debris,Asphalt,Overcast,2604.8,1.79,52.21,0.371,9.4,0.412,1
Pothole,Concrete,Rainy,4641.4,0.89,60.66,0.468,10.8,0.563,1
Road Debris,Concrete,Clear,2815.8,1.21,64.95,0.317,6.1,0.357,1
Pothole,Gravel,Overcast,1823.8,1.12,53.86,0.349,11.6,0.5,1
Normal Clear,Asphalt,Clear,198.9,0.98,6.5,0.086,0.0,0.02,0
Road Debris,Asphalt,Clear,2135.6,1.22,90.56,0.334,2.9,0.472,1
Normal Clear,Asphalt,Clear,134.2,1.19,13.42,0.098,0.0,0.02,0
Pothole,Asphalt,Clear,4914.1,0.92,82.54,0.484,14.1,0.818,1
Pothole,Concrete,Clear,5351.8,0.72,73.97,0.53,10.0,0.577,1
Normal Clear,Asphalt,Night / Low Light,164.8,1.02,13.55,0.169,0.0,0.02,0
Pothole,Asphalt,Clear,3141.9,0.95,51.43,0.401,5.2,0.366,1
Pothole,Concrete,Rainy,4873.5,1.25,75.33,0.446,14.9,0.752,1
Pothole,Asphalt,Clear,5557.2,1.53,71.39,0.407,6.5,0.477,1
Normal Clear,Asphalt,Clear,180.6,1.03,11.31,0.096,0.0,0.02,0
Normal Clear,Asphalt,Clear,133.3,1.22,16.98,0.064,0.0,0.02,0
Surface Crack,Concrete,Overcast,1699.7,3.39,48.0,0.781,1.9,0.411,1
Surface Crack,Asphalt,Clear,1567.4,3.44,43.46,0.635,2.2,0.532,1
Surface Crack,Concrete,Night / Low Light,1355.4,3.31,55.16,0.616,3.3,0.608,1
Normal Clear,Asphalt,Clear,122.4,1.01,17.32,0.076,0.0,0.02,0
Normal Clear,Concrete,Clear,145.6,1.36,15.5,0.097,0.0,0.02,0
Pothole,Concrete,Clear,6849.8,1.35,44.16,0.487,12.0,0.739,1
Pothole,Asphalt,Clear,2558.6,1.01,63.54,0.489,9.3,0.451,1
Pothole,Asphalt,Clear,3643.3,1.36,56.41,0.405,5.9,0.459,1
Normal Clear,Asphalt,Clear,228.9,0.97,6.08,0.074,0.0,0.02,0
Normal Clear,Concrete,Night / Low Light,161.6,0.87,21.4,0.135,0.0,0.02,0
Pothole,Asphalt,Clear,2401.4,0.85,73.5,0.334,4.2,0.277,1
Pothole,Asphalt,Rainy,6236.4,1.58,52.9,0.447,12.4,0.759,1
Pothole,Asphalt,Clear,3799.0,1.8,76.32,0.452,5.1,0.392,1
Normal Clear,Asphalt,Rainy,218.0,0.99,8.46,0.031,0.0,0.02,0
Surface Crack,Asphalt,Rainy,2107.8,4.07,39.83,0.753,1.6,0.411,1
Normal Clear,Asphalt,Clear,147.4,1.08,10.52,0.138,0.0,0.02,0
Road Debris,Asphalt,Clear,3423.6,1.68,50.7,0.304,11.1,0.61,1
Surface Crack,Concrete,Night / Low Light,2088.1,4.59,40.97,0.68,1.3,0.36,1
Pothole,Concrete,Overcast,5134.3,0.74,67.81,0.386,13.4,0.752,1
Pothole,Asphalt,Clear,3065.4,1.39,64.72,0.434,10.9,0.521,1
Road Debris,Gravel,Clear,2934.2,1.11,50.46,0.236,5.6,0.566,1
Normal Clear,Concrete,Overcast,271.3,0.89,14.49,0.138,0.0,0.02,0
Road Debris,Gravel,Clear,3210.9,1.38,54.33,0.25,9.8,0.515,1
Road Debris,Asphalt,Rainy,2213.2,1.71,65.33,0.229,11.6,0.429,1
Pothole,Asphalt,Clear,2914.5,1.5,69.44,0.437,8.0,0.374,1
Normal Clear,Asphalt,Clear,125.4,1.0,13.94,0.071,0.0,0.02,0
Normal Clear,Concrete,Rainy,187.7,1.25,9.51,0.092,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1947.7,3.42,29.75,0.685,1.7,0.491,1
Normal Clear,Asphalt,Clear,117.3,1.13,11.77,0.025,0.0,0.02,0
Road Debris,Asphalt,Rainy,3515.7,0.4,35.16,0.332,3.8,0.448,1
Road Debris,Asphalt,Night / Low Light,3758.7,2.39,55.9,0.316,2.5,0.552,1
Normal Clear,Asphalt,Rainy,174.7,0.99,4.5,0.146,0.0,0.02,0
Normal Clear,Asphalt,Clear,210.0,0.74,10.62,0.073,0.0,0.02,0
Normal Clear,Asphalt,Rainy,203.9,0.57,10.0,0.027,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4157.9,1.06,68.96,0.372,14.5,0.717,1
Surface Crack,Gravel,Night / Low Light,1094.9,4.28,43.97,0.708,1.6,0.337,1
Normal Clear,Concrete,Rainy,165.5,1.01,11.4,0.01,0.0,0.02,0
Pothole,Gravel,Clear,3972.2,1.74,68.15,0.395,17.8,0.794,1
Surface Crack,Concrete,Night / Low Light,1858.4,3.78,44.52,0.859,2.1,0.579,1
Surface Crack,Asphalt,Night / Low Light,1405.9,5.64,38.67,0.685,1.3,0.405,1
Surface Crack,Asphalt,Clear,1824.8,4.02,48.45,0.824,1.8,0.403,1
Road Debris,Concrete,Clear,3401.2,1.46,50.97,0.27,2.1,0.43,1
Normal Clear,Asphalt,Clear,93.1,1.02,10.45,0.053,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4681.3,1.03,81.88,0.407,8.5,0.514,1
Pothole,Asphalt,Clear,7016.6,1.29,58.0,0.485,8.5,0.581,1
Pothole,Asphalt,Rainy,2808.1,0.69,50.69,0.208,15.6,0.709,1
Normal Clear,Asphalt,Overcast,57.5,0.94,14.08,0.092,0.0,0.02,0
Road Debris,Asphalt,Night / Low Light,4118.6,1.16,55.47,0.258,2.4,0.508,1
Surface Crack,Asphalt,Overcast,1590.6,4.97,38.09,0.662,0.8,0.473,1
Normal Clear,Concrete,Overcast,208.1,1.32,15.18,0.081,0.0,0.02,0
Normal Clear,Asphalt,Clear,163.5,1.0,7.9,0.081,0.0,0.02,0
Normal Clear,Asphalt,Rainy,83.3,0.98,18.54,0.105,0.0,0.02,0
Normal Clear,Asphalt,Clear,103.8,0.99,8.66,0.078,0.0,0.02,0
Pothole,Concrete,Overcast,5749.3,1.4,97.81,0.515,16.9,0.854,1
Normal Clear,Asphalt,Clear,168.0,1.39,8.82,0.103,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2050.8,4.24,52.2,0.622,0.6,0.37,1
Normal Clear,Asphalt,Rainy,76.8,1.05,11.33,0.113,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,201.6,1.26,7.53,0.056,0.0,0.02,0
Normal Clear,Gravel,Clear,205.7,0.88,5.91,0.096,0.0,0.02,0
Normal Clear,Gravel,Clear,122.6,1.36,13.18,0.085,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4056.9,1.68,72.3,0.387,10.4,0.59,1
Road Debris,Asphalt,Clear,2159.5,1.44,54.33,0.298,4.8,0.593,1
Normal Clear,Concrete,Overcast,180.5,1.07,9.13,0.1,0.0,0.02,0
Normal Clear,Asphalt,Clear,105.7,1.0,14.61,0.094,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,3690.0,1.56,69.04,0.479,12.7,0.687,1
Pothole,Asphalt,Clear,6799.7,1.3,80.4,0.434,6.4,0.582,1
Pothole,Gravel,Rainy,4807.6,1.38,66.46,0.359,7.3,0.55,1
Normal Clear,Asphalt,Night / Low Light,174.9,0.99,14.03,0.047,0.0,0.02,0
Normal Clear,Asphalt,Clear,189.3,1.07,12.34,0.075,0.0,0.02,0
Pothole,Concrete,Clear,4777.3,1.12,64.11,0.563,12.5,0.61,1
Road Debris,Asphalt,Clear,2906.5,1.41,53.03,0.345,6.3,0.601,1
Normal Clear,Asphalt,Rainy,213.0,0.74,4.82,0.043,0.0,0.02,0
